timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520507459079,22269,HTTP Request,200,,Thread Group 1-15,text,true,,161,118,100,100,20642,0,11907
1520507494010,10574,HTTP Request,200,,Thread Group 1-100,text,true,,161,118,100,100,10573,0,1
1520507460100,21247,HTTP Request,200,,Thread Group 1-41,text,true,,161,118,100,100,19370,0,8278
1520507494817,9770,HTTP Request,200,,Thread Group 1-60,text,true,,161,118,100,100,9768,0,1
1520507460215,21133,HTTP Request,200,,Thread Group 1-25,text,true,,161,118,100,100,20636,0,8803
1520507494817,9772,HTTP Request,200,,Thread Group 1-57,text,true,,161,118,100,100,9771,0,171
1520507460090,21258,HTTP Request,200,,Thread Group 1-12,text,true,,161,118,100,100,20761,0,8823
1520507482007,22584,HTTP Request,200,,Thread Group 1-33,text,true,,161,118,100,100,22584,0,0
1520507459556,21792,HTTP Request,200,,Thread Group 1-91,text,true,,161,118,100,100,21457,0,11910
1520507482002,22594,HTTP Request,200,,Thread Group 1-69,text,true,,161,118,100,100,22594,0,6
1520507460215,21132,HTTP Request,200,,Thread Group 1-18,text,true,,161,118,100,100,19900,0,8162
1520507482008,22588,HTTP Request,200,,Thread Group 1-27,text,true,,161,118,100,100,22588,0,314
1520507460311,21036,HTTP Request,200,,Thread Group 1-65,text,true,,161,118,100,100,19159,0,8068
1520507493175,11423,HTTP Request,200,,Thread Group 1-70,text,true,,161,118,100,100,11423,0,1
1520507460090,21258,HTTP Request,200,,Thread Group 1-22,text,true,,161,118,100,100,20110,0,8275
1520507494462,10136,HTTP Request,200,,Thread Group 1-56,text,true,,161,118,100,100,10136,0,137
1520507459317,22361,HTTP Request,200,,Thread Group 1-10,text,true,,161,118,100,100,22360,0,12150
1520507494459,10140,HTTP Request,200,,Thread Group 1-43,text,true,,161,118,100,100,10140,0,1
1520507460198,21210,HTTP Request,200,,Thread Group 1-87,text,true,,161,118,100,100,21210,0,10786
1520507459556,45044,HTTP Request,200,,Thread Group 1-63,text,true,,161,118,100,100,45044,0,8809
1520507460090,21257,HTTP Request,200,,Thread Group 1-66,text,true,,161,118,100,100,20761,0,8882
1520507494464,10137,HTTP Request,200,,Thread Group 1-58,text,true,,161,118,100,100,10137,0,1
1520507460214,21447,HTTP Request,200,,Thread Group 1-29,text,true,,161,118,100,100,21436,0,8245
1520507482656,22780,HTTP Request,200,,Thread Group 1-52,text,true,,161,118,100,100,22780,0,1807
1520507460215,21132,HTTP Request,200,,Thread Group 1-24,text,true,,161,118,100,100,20636,0,11452
